class_id,paper_id,year,session,variant,test_path,page_count
9,2026-esantion-test-2,2026,Esantion,Test 2,!Teste examene 2016 - 2024/2026/Esantion/09_ist_test2_ro_es26.pdf,7
9,2026-pretestare-test,2026,Pretestare,,!Teste examene 2016 - 2024/2026/Pretestare/09_IST_TEST_RO_PR26.pdf,7
12,bac-2016-profil-umanistic-esantion-test-1,2016,Esantion,Profil umanistic · Test 1,!Teste clasa 12 2016 - 2026/2016/Esantion/12_IST_TEST1_U_RO_ESANT16.pdf,7
12,bac-2016-profil-umanistic-esantion-test-2,2016,Esantion,Profil umanistic · Test 2,!Teste clasa 12 2016 - 2026/2016/Esantion/12_IST_TEST2_U_RO_ESANT16.pdf,7
12,bac-2016-profil-umanistic-pretestare-test,2016,Pretestare,Profil umanistic,!Teste clasa 12 2016 - 2026/2016/Pretestare/12_IST_TEST_U_RO_SS16.pdf,7
12,bac-2016-profil-umanistic-sesiunea-de-baza-test,2016,Sesiunea de baza,Profil umanistic,!Teste clasa 12 2016 - 2026/2016/Sesiunea de baza/12_IST_TEST_U_RO_SB16.pdf,7
12,bac-2016-profil-umanistic-suplimentara-test,2016,Suplimentara,Profil umanistic,!Teste clasa 12 2016 - 2026/2016/Suplimentara/12_IST_U_RO_TEST_PR16.pdf,8
12,bac-2017-profil-umanistic-esantion-test-1,2017,Esantion,Profil umanistic · Test 1,!Teste clasa 12 2016 - 2026/2017/Esantion/12_IST_TEST1_U_RO_ES17.pdf,8
12,bac-2017-profil-umanistic-esantion-test-2,2017,Esantion,Profil umanistic · Test 2,!Teste clasa 12 2016 - 2026/2017/Esantion/12_IST_TEST2_U_RO_ES17.pdf,8
12,bac-2017-profil-umanistic-pretestare-test,2017,Pretestare,Profil umanistic,!Teste clasa 12 2016 - 2026/2017/Pretestare/12_IST_TEST_U_RO_PR17.pdf,8
12,bac-2017-profil-umanistic-sesiunea-de-baza-test,2017,Sesiunea de baza,Profil umanistic,!Teste clasa 12 2016 - 2026/2017/Sesiunea de baza/12_IST_TEST_U_RO_SB17.pdf,7
12,bac-2017-profil-umanistic-suplimentara-test,2017,Suplimentara,Profil umanistic,!Teste clasa 12 2016 - 2026/2017/Suplimentara/12_IST_U_TEST_RO_SS17.pdf,7
12,bac-2018-profil-umanistic-esantion-test-1,2018,Esantion,Profil umanistic · Test 1,!Teste clasa 12 2016 - 2026/2018/Esantion/12_IST_TEST1_U_RO_ES18.pdf,8
12,bac-2018-profil-umanistic-esantion-test-2,2018,Esantion,Profil umanistic · Test 2,!Teste clasa 12 2016 - 2026/2018/Esantion/12_IST_TEST2_U_RO_ES18.pdf,8
12,bac-2018-profil-umanistic-pretestare-test,2018,Pretestare,Profil umanistic,!Teste clasa 12 2016 - 2026/2018/Pretestare/12_IST_TEST_U_RO_PR18.pdf,8
12,bac-2018-profil-umanistic-sesiunea-de-baza-test,2018,Sesiunea de baza,Profil umanistic,!Teste clasa 12 2016 - 2026/2018/Sesiunea de baza/12_IST_TESTU_RO_SB18.pdf,7
12,bac-2018-profil-umanistic-suplimentara-test,2018,Suplimentara,Profil umanistic,!Teste clasa 12 2016 - 2026/2018/Suplimentara/12_IST_TEST_U_RO_SS18.pdf,7
12,bac-2019-profil-umanistic-esantion-test-1,2019,Esantion,Profil umanistic · Test 1,!Teste clasa 12 2016 - 2026/2019/Esantion/12_ist_test1_u_ro_es19.pdf,8
12,bac-2019-profil-umanistic-esantion-test-2,2019,Esantion,Profil umanistic · Test 2,!Teste clasa 12 2016 - 2026/2019/Esantion/12_ist_test2_u_ro_es19.pdf,8
12,bac-2019-profil-umanistic-pretestare-test,2019,Pretestare,Profil umanistic,!Teste clasa 12 2016 - 2026/2019/Pretestare/12_ist_u_test_ro_pr19.pdf,8
12,bac-2019-profil-umanistic-sesiunea-de-baza-test,2019,Sesiunea de baza,Profil umanistic,!Teste clasa 12 2016 - 2026/2019/Sesiunea de baza/12_IST_U_TEST_RO_SB19.pdf,7
12,bac-2019-profil-umanistic-suplimentara-test,2019,Suplimentara,Profil umanistic,!Teste clasa 12 2016 - 2026/2019/Suplimentara/12_IST_U_TEST_RO_SS19.pdf,7
12,bac-2021-profil-umanistic-esantion-test-1,2021,Esantion,Profil umanistic · Test 1,!Teste clasa 12 2016 - 2026/2021/Esantion/12_ist_u_test1_ro_es21.pdf,8
12,bac-2021-profil-umanistic-esantion-test-2,2021,Esantion,Profil umanistic · Test 2,!Teste clasa 12 2016 - 2026/2021/Esantion/12_ist_u_test2_ro_es21.pdf,8
12,bac-2021-profil-umanistic-pretestare-test,2021,Pretestare,Profil umanistic,!Teste clasa 12 2016 - 2026/2021/Pretestare/12_ist_u_test_ro_pr21.pdf,8
12,bac-2021-profil-umanistic-sesiunea-de-baza-test,2021,Sesiunea de baza,Profil umanistic,!Teste clasa 12 2016 - 2026/2021/Sesiunea de baza/12_ist_u_test_ro_sb21.pdf,7
12,bac-2021-profil-umanistic-suplimentara-test,2021,Suplimentara,Profil umanistic,!Teste clasa 12 2016 - 2026/2021/Suplimentara/12_ist_u_test_ro_ss21doc.pdf,7
12,bac-2022-profil-umanistic-esantion-test-1,2022,Esantion,Profil umanistic · Test 1,!Teste clasa 12 2016 - 2026/2022/Esantion/12_ist_u_test1_ro_es22.pdf,9
12,bac-2022-profil-umanistic-esantion-test-2,2022,Esantion,Profil umanistic · Test 2,!Teste clasa 12 2016 - 2026/2022/Esantion/12_ist_u_test2_ro_es22.pdf,9
12,bac-2022-profil-umanistic-pretestare-test,2022,Pretestare,Profil umanistic,!Teste clasa 12 2016 - 2026/2022/Pretestare/12_IST_TEST_U_RO_PR22.pdf,8
12,bac-2022-profil-umanistic-sesiunea-de-baza-test,2022,Sesiunea de baza,Profil umanistic,!Teste clasa 12 2016 - 2026/2022/Sesiunea de baza/12_ist_test_u_ro_sb22 BAZA.pdf,7
12,bac-2022-profil-umanistic-sesiunea-suplimentara-test,2022,Sesiunea suplimentara,Profil umanistic,!Teste clasa 12 2016 - 2026/2022/Sesiunea suplimentara/12_ist_test_u_ro_ss22.pdf,7
12,bac-2023-profil-umanistic-esantion-test-1,2023,Esantion,Profil umanistic · Test 1,!Teste clasa 12 2016 - 2026/2023/Esantion/12_IST_U_TEST1_RO_ES23.pdf,8
12,bac-2023-profil-umanistic-esantion-test-2,2023,Esantion,Profil umanistic · Test 2,!Teste clasa 12 2016 - 2026/2023/Esantion/12_IST_U_TEST2_RO_ES23.pdf,8
12,bac-2023-profil-umanistic-pretestare-test-2,2023,Pretestare,Profil umanistic · Test 2,!Teste clasa 12 2016 - 2026/2023/Pretestare/12_IST_U_TEST2_RO_ES23.pdf,8
12,bac-2023-profil-umanistic-sesiunea-de-baza-test,2023,Sesiunea de baza,Profil umanistic,!Teste clasa 12 2016 - 2026/2023/Sesiunea de baza/12_ist_test_u_ro_sb23.pdf,7
12,bac-2023-profil-umanistic-sesiunea-suplimentara-test,2023,Sesiunea suplimentara,Profil umanistic,!Teste clasa 12 2016 - 2026/2023/Sesiunea suplimentara/12_ist_test_u_ro_ss23.pdf,7
12,bac-2024-profil-umanistic-esantion-test-1,2024,Esantion,Profil umanistic · Test 1,!Teste clasa 12 2016 - 2026/2024/Esantion/12_IST_TEST1_U_RO_ES24.pdf,9
12,bac-2024-profil-umanistic-esantion-test-2,2024,Esantion,Profil umanistic · Test 2,!Teste clasa 12 2016 - 2026/2024/Esantion/12_IST_TEST2_U_RO_ES24.pdf,9
12,bac-2024-profil-umanistic-pretestare-test,2024,Pretestare,Profil umanistic,!Teste clasa 12 2016 - 2026/2024/Pretestare/12_IST_TEST_U_RO_PR24.pdf,8
12,bac-2024-profil-real-esantion-test-1,2024,Esantion,Profil real · Test 1,!Teste clasa 12 2016 - 2026/2024/Profil Real/Esantion/12_ist_test1_r_ro_es24.pdf,8
12,bac-2024-profil-real-esantion-test-2,2024,Esantion,Profil real · Test 2,!Teste clasa 12 2016 - 2026/2024/Profil Real/Esantion/12_ist_test2_r_ro_es24.pdf,8
12,bac-2024-profil-real-pretestare-test,2024,Pretestare,Profil real,!Teste clasa 12 2016 - 2026/2024/Profil Real/Pretestare/12_ist_test_r_ro_pr24.pdf,8
12,bac-2024-profil-real-sesiunea-de-baza-test,2024,Sesiunea de baza,Profil real,!Teste clasa 12 2016 - 2026/2024/Profil Real/Sesiunea de baza/12_ist_test_r_ro_sb24.pdf,7
12,bac-2024-profil-real-suplimentara-test,2024,Suplimentara,Profil real,!Teste clasa 12 2016 - 2026/2024/Profil Real/Suplimentara/12_ist_test_r_ro_ss24.pdf,7
12,bac-2024-profil-umanistic-sesiunea-de-baza-test,2024,Sesiunea de baza,Profil umanistic,!Teste clasa 12 2016 - 2026/2024/Sesiunea de baza/12_ist_test_u_ro_sb24.pdf,7
12,bac-2024-profil-umanistic-suplimentara-test,2024,Suplimentara,Profil umanistic,!Teste clasa 12 2016 - 2026/2024/Suplimentara/12_ist_test_u_ro_ss24.pdf,7
12,bac-2025-profil-umanistic-esantion-test-1,2025,Esantion,Profil umanistic · Test 1,!Teste clasa 12 2016 - 2026/2025/Esantion/12_ist_test1_u_ro_es25.pdf,8
12,bac-2025-profil-umanistic-esantion-test-2,2025,Esantion,Profil umanistic · Test 2,!Teste clasa 12 2016 - 2026/2025/Esantion/12_ist_test2_u_ro_es25.pdf,8
12,bac-2025-profil-real-esantion-test-1,2025,Esantion,Profil real · Test 1,!Teste clasa 12 2016 - 2026/2025/Esantion/Real/12_ist_test1_r_ro_es25.pdf,8
12,bac-2025-profil-real-esantion-test-2,2025,Esantion,Profil real · Test 2,!Teste clasa 12 2016 - 2026/2025/Esantion/Real/12_ist_test2_r_ro_es25.pdf,8
12,bac-2025-profil-umanistic-pretestare-test,2025,Pretestare,Profil umanistic,!Teste clasa 12 2016 - 2026/2025/Pretestare/12_ist_test_u_ro_pr25.pdf,8
12,bac-2025-profil-real-pretestare-test,2025,Pretestare,Profil real,!Teste clasa 12 2016 - 2026/2025/Pretestare/Real/12_ist_test_r_ro_pr25.pdf,8
12,bac-2025-profil-umanistic-sesiunea-de-baza-test,2025,Sesiunea de baza,Profil umanistic,!Teste clasa 12 2016 - 2026/2025/Sesiunea de baza/12_ist_test_u_ro_sb25.pdf,7
12,bac-2025-profil-umanistic-suplimentara-test,2025,Suplimentara,Profil umanistic,!Teste clasa 12 2016 - 2026/2025/Suplimentara/12_ist_test_u_ro_ss25.pdf,7
12,bac-2026-profil-umanistic-esantion-test-1,2026,Eșantion,Profil umanistic · Test 1,!Teste clasa 12 2016 - 2026/2026/Eșantion/Test 1.pdf,8
12,bac-2026-profil-umanistic-esantion-test-2,2026,Eșantion,Profil umanistic · Test 2,!Teste clasa 12 2016 - 2026/2026/Eșantion/Test 2.pdf,8
12,bac-2026-profil-umanistic-pretestare-test,2026,Pretestare,Profil umanistic,!Teste clasa 12 2016 - 2026/2026/Pretestare/12_ist_test_u_ro_pr26.pdf,8
