class_id,epoch_id,topic_id,topic_uid,topic_number,display_title,quiz_link,notebook_link,doc_link,doc_links,sort_order,status
12,medievala,medievala-14,12-medievala-14,14,Situaţia politică a Ţărilor Române în primele decenii ale secolului al XVII-lea,https://forms.gle/9sVabGq4n2L89vNp7,https://notebooklm.google.com/notebook/b2b283dc-010f-4ad1-aea6-eac9d0069c67,https://docs.google.com/document/d/1jYMk-6qppE6E45eDRcuT_E3W5JmUtFFGNDD53HxNLSA/edit?usp=sharing,['https://docs.google.com/document/d/1jYMk-6qppE6E45eDRcuT_E3W5JmUtFFGNDD53HxNLSA/edit?usp=sharing'],25,ready
12,medievala,medievala-15,12-medievala-15,15,Apariţia spiritului şi elementului modern în Europa Occidentală. Marile descoperiri geografice,https://forms.gle/84arxv5Uk6G9v2zU7,https://notebooklm.google.com/notebook/7c25c232-209a-4c30-95bd-af8a58d76461,https://docs.google.com/document/d/1XCG4pubFuT5S2n6WCm0WYSO9RShqEDRzKHBQ8EWXThg/edit?usp=sharing,['https://docs.google.com/document/d/1XCG4pubFuT5S2n6WCm0WYSO9RShqEDRzKHBQ8EWXThg/edit?usp=sharing'],26,ready
12,medievala,medievala-16,12-medievala-16,16,Renaşterea şi Umanismul. Manifestări ale umanismului în spaţiul românesc,https://forms.gle/h5SHz5XCMmQ6oMM28,https://notebooklm.google.com/notebook/6179b8c1-4922-4744-bdd9-e975560fc859,https://docs.google.com/document/d/1JKxDiD5yVb2M5ZN-kUW8aAN80bP2PocPOnPlXVhaCXg/edit?usp=sharing,['https://docs.google.com/document/d/1JKxDiD5yVb2M5ZN-kUW8aAN80bP2PocPOnPlXVhaCXg/edit?usp=sharing'],27,ready
12,medievala,medievala-17,12-medievala-17,17,Reforma şi Contrareforma,https://forms.gle/WjQfG6bS2iRDRnDz9,https://notebooklm.google.com/notebook/3927a6a9-f026-41d3-a0fb-2fd487cb00dd,https://docs.google.com/document/d/1Mtv6ftjdER2NdATelFdW_7OGP1bfhjDtB12Arn8sGtI/edit?usp=sharing,['https://docs.google.com/document/d/1Mtv6ftjdER2NdATelFdW_7OGP1bfhjDtB12Arn8sGtI/edit?usp=sharing'],28,ready
12,medievala,medievala-18,12-medievala-18,18,Războiul de 30 de ani,https://forms.gle/TD9NaqSh2ReRcb3W7,https://notebooklm.google.com/notebook/88f098bb-e6f0-471c-9136-703fc1ef3b4b,https://docs.google.com/document/d/1o9TDPVXvAl2p6U0o8hqak7Tvz9Jwgq84_AUm1LhZ2hI/edit?usp=sharing,['https://docs.google.com/document/d/1o9TDPVXvAl2p6U0o8hqak7Tvz9Jwgq84_AUm1LhZ2hI/edit?usp=sharing'],29,ready
12,moderna,moderna-1,12-moderna-1,1,Revoluția industrială – transformări cu caracter modernizator,,https://notebooklm.google.com/notebook/c30cba4e-3e83-4bad-954d-20e836e2ca28,https://docs.google.com/document/d/1PWNljOHsEbMCp76_xz35Iw7GMkTkQakKGxyUBLlu10A/edit?usp=sharing,['https://docs.google.com/document/d/1PWNljOHsEbMCp76_xz35Iw7GMkTkQakKGxyUBLlu10A/edit?usp=sharing'],30,ready
12,moderna,moderna-2,12-moderna-2,2,Economia Țărilor Române (mijlocul secolului al XVII-lea – mijlocul secolului al XIX-lea),,https://notebooklm.google.com/notebook/c30cba4e-3e83-4bad-954d-20e836e2ca28,https://docs.google.com/document/d/1ZckD6a5rdA7YXZN1s-JfB5JvYsMKC5M-g_93jdZZKpE/edit?usp=sharing,['https://docs.google.com/document/d/1ZckD6a5rdA7YXZN1s-JfB5JvYsMKC5M-g_93jdZZKpE/edit?usp=sharing'],31,ready
12,moderna,moderna-3,12-moderna-3,3,Anglia: de la monarhie absolută la monarhie parlamentară,,https://notebooklm.google.com/notebook/60c397d3-f16c-4492-81dd-8d7829150fdb,,[],32,ready
12,moderna,moderna-4,12-moderna-4,4,Iluminismul – revoluția ideilor,,https://notebooklm.google.com/notebook/9c7765ae-aaaf-49ab-ae32-f26dfe42b5cb,,[],33,ready
12,moderna,moderna-5,12-moderna-5,5,Războiul de independență al coloniilor engleze din America de Nord,,https://notebooklm.google.com/notebook/1ade1f8b-79ce-4842-8347-f5e5c094ce58,,[],34,ready
